iso,year,CONTROL_CORRUPTION,CREDIT_PRIVATE,CURRENT_ACCOUNT,DEPENDENCY_RATIO,ELECTRICITY,EXCHANGE_RATE,EXPORT_GROWTH,FDI,GDP_GROWTH,GDP_PC_PPP,GOV_EFFECTIVENESS,GROSS_SAVINGS,HIGH_TECH_EXPORTS,IMPORT_GROWTH,INFLATION,INVESTMENT,LIFE_EXPECTANCY,MANUF_VA,POLITICAL_STABILITY,POPULATION,REAL_INTEREST,REG_QUALITY,RESERVES_MONTHS,REVENUE_EX_GRANTS,RND,RULE_OF_LAW,SCHOOLING_SEC,TAX_REVENUE,TERMS_OF_TRADE,TRADE_OPENNESS,UNEMPLOYMENT,URBAN_SHARE,WORLD_GROWTH,WORLD_EXPORT_GROWTH,WORLD_INFLATION,ctfp,hc,rkna,emp,pop,cgdpo,rgdpo,rgdpna,labsh
KOR,2006,0.3855479,117.535674488688,0.191275272898578,39.1149684167156,100.0,955.340833333333,12.4082737478315,0.836569086676283,5.24500550580342,34429.6222013137,0.9280549,32.8912214742854,,12.6139359412199,2.24234028518921,33.0040207975187,78.6682926829268,25.7222784544775,0.6091619,48438292.0,6.16075413094103,0.785485,7.27710997239579,19.7084682716194,2.61516,0.8433832,96.7785415649414,13.2016025810223,119.3,68.3749509402263,3.254,81.566462110512,4.48913510541222,8.49180561935788,4.26717463390264,0.6796789765357971,3.3548786640167236,0.6121314167976379,23.399885177612305,48.880451,1642122.125,1618417.375,1442280.125,0.5230861902236938
KOR,2007,0.5124785,124.027715958864,0.857760495298849,38.8293844819969,100.0,929.375833333333,13.035402446108,0.722975995794071,5.8419633918717,36257.3401689702,1.146123,33.4309889399337,32.4282584168837,11.4919045999336,2.53457382137932,33.2491377792946,79.119512195122,25.9241510203287,0.7506836,48683638.0,3.9416601586454,0.9818245,6.85652160718251,20.8019087537845,2.75895,1.028267,96.7113800048828,14.2312247249175,111.7,71.3239614988013,3.013,81.712125801927,4.43123376835285,6.65749601979584,4.81023704342912,0.6920544505119324,3.3827919960021973,0.6483378410339355,23.730854034423828,49.03481,1729750.75,1716586.625,1525925.75,0.5193971991539001
KOR,2008,0.414593,136.196660706156,0.160592800145373,38.4354178916179,100.0,1100.12583333333,7.87347942710419,1.02488987542862,3.00440451679569,37064.1518484106,0.9389247,33.2480829152876,30.4501393108657,3.3550071762851,4.67389655533408,33.7038348910437,79.5170731707317,26.0793572324032,0.5925856,49054708.0,4.10863165815276,0.6842496,4.46436257694186,20.4999234812355,2.86774,0.8940893,96.3489303588867,13.9077106392006,99.6,92.0833544961819,2.959,81.8350833138518,2.0916044806491,2.97004947697062,8.94995335353387,0.6779746413230896,3.410937547683716,0.68245929479599,23.836549758911133,49.182455999999995,1717246.0,1721251.75,1571901.75,0.5169674158096313
KOR,2009,0.4369534,132.599106034348,3.36575830090763,38.033861912487,100.0,1277.24583333333,-0.575563489767916,0.917731561520283,0.81986175641795,37176.1939270969,1.025545,33.13093501319,32.1484365401841,-6.60591042803912,2.7564965449393,29.5580079908835,79.9682926829268,26.3042343079035,0.6309262,49307835.0,2.07481127238993,0.7514494,7.80292095600634,19.5551440528429,3.02145,0.9270364,96.8854293823242,13.1076925895728,103.9,83.1246099057162,3.363,81.9245045084002,-1.33303814192499,-9.59622731679175,2.86044855902674,0.6701754927635193,3.439317226409912,0.7133321166038513,23.706533432006836,49.347460999999996,1681452.0,1659645.375,1584362.125,0.5113298296928406
KOR,2010,0.4243376,124.679568065827,2.34320897623578,37.7039074846602,100.0,1156.46,13.0714789035734,0.796207328344812,6.98166138853071,39574.0500732947,1.2722652,34.9926210564103,32.1343974843399,17.8159163726819,2.93928652655686,32.7792421992313,80.1170731707317,28.0990056835275,0.5807388,49554112.0,2.71883334374472,0.8025338,6.5467233974824,19.2669365886743,3.17913,0.9000647,97.2930603027344,12.8831803193742,96.3,88.0278677123124,3.324,81.9685075986486,4.52085213873784,11.8470983952319,3.32634463368643,0.6855635643005371,3.467933177947998,0.7496579885482788,24.02872085571289,49.545635999999995,1784489.75,1780067.625,1692175.25,0.49587032198905945
KOR,2011,0.582102,127.08181388669,1.27290610804572,37.2547574179042,100.0,1108.23333333333,15.5563434967986,0.747683727442323,3.6880320602952,40719.2273771671,1.323113,34.3761288710455,28.2133210437189,14.5751374814971,4.0259650043609,33.2613430738444,80.5682926829269,29.0005575131874,0.5406915,49936638.0,4.42580144247274,0.9312521,5.39203401880799,19.840430558129,3.44409,0.9101943,97.5294189453125,13.2807181068078,86.5,101.68061646213,2.992,81.9615408086376,3.31431839310667,5.51788947035175,4.80063594169405,0.6713544726371765,3.4984607696533203,0.7854204177856445,24.452390670776367,49.786159,1764806.125,1784289.875,1754543.25,0.5037407875061035
KOR,2012,0.5254345,125.135860183943,3.65378622367594,36.7828795943106,100.0,1126.80666666667,6.03604960637362,0.711120351080011,2.54766550568242,41537.6728611117,1.3333071,34.336867195596,28.2220757644767,2.62544879188368,2.18707104433314,31.2149587741292,80.819512195122,28.7408682052811,0.4992315,50199853.0,4.05140294190715,0.9288607,5.76906053221769,25.5086081431188,3.6852,1.0189309,97.3674163818359,13.4735488568588,85.0,101.51727207905,2.812,81.9087898200378,2.74743359443485,2.74285501350239,3.72532666110646,0.6531071066856384,3.5295772552490234,0.8189522624015808,24.885498046875,50.060638999999995,1789598.875,1790975.75,1796696.625,0.5085257291793823
KOR,2013,0.584669,122.756788077341,5.38513504027402,36.5342930887925,100.0,1094.9825,3.98284994643797,0.889863368558993,3.2913959543442,42709.9751857887,1.2238913,34.5161248108137,29.8181999078998,1.8572264736635,1.30134754547413,29.8990183063853,81.2707317073171,28.8654766941182,0.5061279,50428893.0,3.52829393471496,1.0180914,6.19845985710316,24.9494763702353,3.77487,0.9929714,97.8287506103516,13.022218187832,87.8,94.1675235855873,3.067,81.8269383502703,2.88974765617324,3.15001331842582,2.65167342916577,0.6146865487098694,3.5612964630126953,0.8507890701293945,25.257593154907227,50.345717,1740677.875,1751297.0,1853556.875,0.5114167332649231
KOR,2014,0.5041579,125.488630227146,5.33522703805369,36.4720410483292,100.0,1052.84,2.11141466591884,0.595893048504325,3.21468019683108,43806.9250985661,1.1863908,34.5717402109559,30.0608682657817,1.36699260026769,1.27477446401322,29.7893883422049,81.7219512195122,28.2760755546832,0.5969209,50746659.0,3.17863075274962,0.9937598,6.54230372996404,23.8361453515722,3.88983,1.0706201,98.5806732177734,12.6305683354976,89.3,86.9342577972039,3.082,81.7315682816954,3.16849193058366,3.47031825748584,2.39371597209796,0.6128988862037659,3.5936331748962402,0.883693516254425,25.826217651367188,50.607907,1805884.875,1834123.375,1912916.125,0.5181786417961121
KOR,2015,0.3449721,125.858810840683,6.82937629347486,36.4601267455493,100.0,1130.9525,-0.00426446660232216,0.266636382581676,2.92029267301234,44849.106767089,1.1983681,35.8343334005639,31.2119270912605,1.94248010957374,0.70633177245575,29.3122032932439,82.0243902439024,27.8215922094514,0.667684,51014947.0,0.295335527644416,0.996129,7.9205453756485,23.6343458597577,3.78907,1.0105606,98.5931930541992,12.5326128931493,100.0,75.3881774564907,3.546,81.639489860678,3.12721325699906,3.3526080435236,1.43702380935655,0.6317250728607178,3.6266024112701416,0.9179964065551758,26.079252243041992,50.823093,1947442.5,1943938.625,1966652.0,0.5215386152267456
