origin,iso,h,model,actual,pred,err,sq,abs
2001,MYS,1,random_walk,5.39098830692797,0.517675319192861,-4.873312987735109,23.749179476427695,4.873312987735109
2001,MYS,2,random_walk,5.7884992858875,0.517675319192861,-5.270823966694639,27.78158528788261,5.270823966694639
2001,MYS,3,random_walk,6.78343772370305,0.517675319192861,-6.2657624045101885,39.2597785097733,6.2657624045101885
2001,MYS,4,random_walk,5.33213916141486,0.517675319192861,-4.814463842221999,23.17906208806301,4.814463842221999
2001,MYS,5,random_walk,5.5848470671515,0.517675319192861,-5.067171747958639,25.67622952331021,5.067171747958639
2001,NLD,1,random_walk,0.24582951723049,2.32358454925847,2.07775503202798,4.317065973117592,2.07775503202798
2001,NLD,2,random_walk,0.0978549395212411,2.32358454925847,2.225729609737229,4.9538722956610375,2.225729609737229
2001,NLD,3,random_walk,2.01628331561487,2.32358454925847,0.3073012336436003,0.09443404819887861,0.3073012336436003
2001,NLD,4,random_walk,2.03401576512488,2.32358454925847,0.2895687841335901,0.0838500807446057,0.2895687841335901
2001,NLD,5,random_walk,3.53729585853395,2.32358454925847,-1.2137113092754799,1.4730951422631995,1.2137113092754799
2001,PHL,1,random_walk,3.71625500158383,3.04923134463486,-0.6670236569489698,0.44492055892957694,0.6670236569489698
